seed,turn,seat,hp,mp,energy,foe_hp,foe_mp,foe_energy,dist,shrink,my_ac,foe_ac,my_nade,foe_nade,outcome
770003,37,B,47,6,30,85,18,30,1,2,0,3,0,0,-1
770003,38,A,85,18,25,47,6,20,1,2,4,1,0,0,1
770003,38,B,47,6,20,85,18,25,1,2,1,4,0,0,-1
770003,39,A,70,18,15,32,6,10,1,2,5,2,0,0,1
770003,39,B,32,6,10,70,18,15,1,2,2,5,0,0,-1
770003,40,A,70,18,35,32,6,30,1,2,5,2,0,0,1
770003,40,B,32,6,30,70,18,35,1,2,2,5,0,0,-1
770003,41,A,55,8,45,32,6,20,2,2,1,3,0,0,1
770003,41,B,32,6,20,55,8,45,2,2,3,1,0,0,-1
770003,42,A,55,8,65,47,21,20,2,2,1,4,0,0,1
770003,42,B,47,21,20,55,8,65,2,2,4,1,0,0,-1
770003,43,A,70,23,65,62,36,20,2,2,2,5,0,0,1
770003,43,B,62,36,20,70,23,65,2,2,5,2,0,0,-1
770003,44,A,85,38,65,77,51,50,2,2,3,0,0,0,1
770003,44,B,77,51,50,85,38,65,2,2,0,3,0,0,-1
770003,45,A,85,38,30,92,66,50,2,2,5,1,0,0,1
770003,45,B,92,66,50,85,38,30,2,2,1,5,0,0,-1
770003,46,A,70,8,40,77,36,60,3,2,1,2,0,0,1
770003,46,B,77,36,60,70,8,40,3,2,2,1,0,0,-1
770003,47,A,70,8,25,77,36,35,5,2,2,4,0,0,1
770003,47,B,77,36,35,70,8,25,5,2,4,2,0,0,-1
770003,48,A,85,23,25,77,36,35,3,2,3,0,0,0,1
770003,48,B,77,36,35,85,23,25,3,2,0,3,0,0,-1
770003,49,A,100,38,25,92,51,35,3,2,4,1,0,0,1
770003,49,B,92,51,35,100,38,25,3,2,1,4,0,0,-1
770003,50,A,100,28,40,100,63,35,4,2,0,2,0,0,1
770003,50,B,100,63,35,100,28,40,4,2,2,0,0,0,-1
770003,51,A,100,28,60,100,53,35,4,2,0,4,0,0,1
770003,51,B,100,53,35,100,28,60,4,2,4,0,0,0,-1
770003,52,A,100,28,55,100,53,35,2,2,1,5,0,0,1
770003,52,B,100,53,35,100,28,55,2,2,5,1,0,0,-1
770003,53,A,100,43,55,100,53,60,3,2,2,0,0,0,1
770003,53,B,100,53,60,100,43,55,3,2,0,2,0,0,-1
770003,54,A,100,43,20,100,53,40,3,2,4,2,0,0,1
770003,54,B,100,53,40,100,43,20,3,2,2,4,0,0,-1
770003,55,A,77,43,30,100,13,20,1,2,5,4,0,0,1
770003,55,B,100,13,20,77,43,30,1,2,4,5,0,0,-1
770003,56,A,77,3,60,75,13,20,1,2,1,5,0,0,1
770003,56,B,75,13,20,77,3,60,1,2,5,1,0,0,-1
770003,57,A,77,3,20,60,13,40,2,2,3,0,0,0,1
770003,57,B,60,13,40,77,3,20,2,2,0,3,0,0,-1
770003,58,A,77,3,30,60,3,40,2,2,4,2,0,0,1
770003,58,B,60,3,40,77,3,30,2,2,2,4,0,0,-1
770003,59,A,77,3,50,75,18,40,2,2,4,3,0,0,1
770003,59,B,75,18,40,77,3,50,2,2,3,4,0,0,-1
770003,60,A,77,3,60,52,18,25,1,2,0,5,0,0,1
770003,60,B,52,18,25,77,3,60,1,2,5,0,0,0,-1
770003,61,A,62,3,40,37,18,40,1,2,2,1,0,0,1
770003,61,B,37,18,40,62,3,40,1,2,1,2,0,0,-1
770003,62,A,62,3,0,37,8,25,1,2,4,3,0,0,1
